klist,llist,seuratnotieari,seuratwithtieari,pcaldarimax,pcaldarimin,celdagari,celdacgari,filteredL,seed,beta,delta
20,10,0.298796460279979,0.297672555995645,0.199216347279354,0.347347043700953,0.439520881486162,0.983896011532114,10,12345,1,1
20,20,0.196206180363454,0.194235935117494,0.167462274755729,0.177127119380064,0.343761161492817,0.997499845073664,19,12346,1,1
20,30,0.211104479240333,0.209912730898392,0.432084404376765,0.0983018242550308,0.567123702954317,0.963030116315868,19,12347,1,1
20,40,0.335794159024791,0.334673657625715,0.295904429500578,0.359572941626539,0.675824589113182,0.978324909216057,27,12348,1,1
20,50,0.304348155315295,0.302169255258115,0.487235875919178,0.314933632472026,0.623596257719275,0.982945992385099,24,12349,1,1
20,60,0.204314636569402,0.202379508996088,0.195724702289529,0.245342189718154,0.503307973467936,0.979268779499585,40,12350,1,1
20,70,0.227066279993472,0.223863063057974,0.259276922003518,0.1930900490505,0.680392113090088,0.989899607084193,40,12351,1,1
20,80,0.265841122828938,0.263991390068701,0.316297148095431,0.186094051540245,0.77318728619522,0.989594898261205,39,12352,1,1
20,90,0.290665685262521,0.286530588149113,0.22229327205166,0.309890075474718,0.620742322885999,0.981174594750296,43,12353,1,1
20,100,0.229186625237353,0.228445548020788,0.312204085812266,0.238584248540427,0.803732790433381,0.992668892544303,38,12354,1,1
20,110,0.216358305934735,0.212874081242837,0.238041615401009,0.210470242585374,0.665717034037438,0.983526629429175,49,12355,1,1
20,120,0.224549837935233,0.223002301304446,0.295181718536681,0.202791963576598,0.758830559872346,0.991836410511607,42,12356,1,1
20,130,0.151768367419303,0.14759280498182,0.133709326514364,0.158713085551592,0.704639143785835,0.989661047041385,53,12357,1,1
20,140,0.175948036665581,0.171564606749553,0.135015055980555,0.238449830351408,0.799325244769413,0.963827392451624,70,12358,1,1
20,150,0.220864952296907,0.216004824350192,0.246425508932308,0.157409607199738,0.728034377074132,0.98841095415633,52,12359,1,1
20,160,0.175938078842043,0.170396995551202,0.203015721870943,0.139040308743861,0.555999256664877,0.96244191998515,77,12360,1,1
20,170,0.172489776574435,0.166324105326661,0.181204894184406,0.250585599189443,0.602799144338059,0.96784152329689,72,12361,1,1
20,180,0.151307095616291,0.148061484184162,0.152392476349462,0.123968010240339,0.83112991859821,0.979509211343551,84,12362,1,1
20,190,0.179158073968719,0.173137965962701,0.147501000610515,0.19166402605328,0.677925504267195,0.944638526973889,87,12363,1,1
20,200,0.125267766252394,0.121469357981648,0.137077129676365,0.121440170123447,0.700058885256961,0.980464770614314,81,12364,1,1
20,10,0.335254167866371,0.334864339680552,0.154886325719521,0.370160803678442,0.876730373057095,0.9963980865085,8,12365,1,1
20,20,0.260277533762389,0.258910864220286,0.315186442544014,0.38293215459789,0.631661236548615,0.961030652089837,17,12366,1,1
20,30,0.332767972702373,0.332369532117505,0.522443173567379,0.292878494038857,0.555712024464146,0.964190832386477,20,12367,1,1
20,40,0.496568166456097,0.495799493264991,0.622231913135135,0.403020386295711,0.894309117181144,0.998104223167188,19,12368,1,1
20,50,0.180393250072917,0.180107282878562,0.313957846562489,0.203571607777059,0.489802249162481,0.987450566469261,29,12369,1,1
20,60,0.325849914203317,0.32567176558925,0.294561946088473,0.304751123019769,0.612970806365487,0.989133386492601,32,12370,1,1
20,70,0.151311964576949,0.148987962993053,0.216253388571068,0.103590348969844,0.543637051889365,0.988768975161879,45,12371,1,1
20,80,0.196675548511632,0.195063380928137,0.185786894307708,0.199087417926422,0.787262114881743,0.979427439383412,44,12372,1,1
20,90,0.235217985686242,0.23371937580641,0.279733176282065,0.200813680031986,0.645790070579853,0.987334518939788,45,12373,1,1
20,100,0.27936241362553,0.27423211426819,0.262667196266959,0.272687122296556,0.630416859991844,0.975158516797579,50,12374,1,1
20,110,0.192961525412879,0.189567738517444,0.182362195796656,0.223622546820312,0.627616034609566,0.982078486424456,55,12375,1,1
20,120,0.187629310732806,0.18232092913351,0.148403561710857,0.165497551949682,0.624098543761255,0.975173162063941,64,12376,1,1
20,130,0.177503167445615,0.178811186473794,0.217449145698509,0.163866434931241,0.797725195236876,0.984657637645948,58,12377,1,1
