klist,llist,seuratnotieari,seuratwithtieari,pcaldarimax,pcaldarimin,celdagari,celdacgari,filteredL,seed,beta,delta
20,10,0.316212367105958,0.31622928182534,0.516924171948705,0.235818518408514,0.981908075261687,0.997769330384146,10,12345,10,10
20,20,0.225113837878104,0.225219135824583,0.216555283018953,0.270994465013003,0.627869945603703,0.995918367011282,20,12346,10,10
20,30,0.0962506142061894,0.0951999632858352,0.150856194801809,0.1577840264826,0.62154581657751,0.996141399363648,30,12347,10,10
20,40,0.128557720344473,0.12718519445758,0.210247567494789,0.0698331688751196,0.404537568121122,0.91248326150575,40,12348,10,10
20,50,0.0915407244916467,0.0910551006398008,0.209026931691828,0.114805015140066,0.48345082157207,0.982964133732229,48,12349,10,10
20,60,0.0505677859756979,0.0502502284823522,0.128272728262371,0.105302062451263,0.417239057363994,0.967130403385331,60,12350,10,10
20,70,0.075256696459613,0.0734809052965874,0.135995347264911,0.0522300818992798,0.333162271990051,0.816556140900248,70,12351,10,10
20,80,0.058533016252083,0.0584714999672944,0.159601816552325,0.0613353657485745,0.404178719956379,0.889040668770699,79,12352,10,10
20,90,0.0482222397455846,0.0476797862735876,0.0414962499937407,0.091652994323878,0.379834600471467,0.884220916486299,87,12353,10,10
20,100,0.0534262860838036,0.0510949308465799,0.248225040052615,0.0431953270694848,0.302147684082463,0.965260798527714,99,12354,10,10
20,110,0.0314171666702201,0.0301251279979353,0.0641528299433412,0.0497471372003411,0.357476569964082,0.925717261347522,107,12355,10,10
20,120,0.0329107137340137,0.031388088075927,0.02504489292635,0.0388836260378878,0.303792355129793,0.89512328031363,117,12356,10,10
20,130,0.0238553317402831,0.024759333687288,0.0326636838861008,0.0351796840199226,0.255252875454482,0.815096557367016,126,12357,10,10
20,140,0.0332540486339734,0.0327093967580854,0.0908439998415019,0.0788428445909163,0.228346461695246,0.807928482784955,134,12358,10,10
20,150,0.0436845505940434,0.041744625825764,0.0919310998218925,0.0966049334670657,0.3183496169995,0.739310556048937,138,12359,10,10
20,160,0.0653560636646617,0.0624905371748858,0.119806744369928,0.251106888854342,0.20919583084966,0.712849550504399,154,12360,10,10
20,170,0.0377693460134456,0.0374996301417355,0.234761787232215,0.0471551130658218,0.256719895111319,0.733566772436109,164,12361,10,10
20,180,0.0163259504553306,0.0157826434245166,0.0196355744703625,0.0435840984731774,0.162822223368208,0.760859481942241,172,12362,10,10
20,190,0.0357105268770856,0.0340271541210506,0.0467198375295307,0.0884870262196451,0.212744190260724,0.81572188853219,188,12363,10,10
20,200,0.0214012423957376,0.0210931955153692,0.0447414659443292,0.0489037216152242,0.175306893766178,0.765914448946068,191,12364,10,10
20,10,0.2662127856783,0.265420497335617,0.321717257348681,0.258901535864538,0.940589565521051,0.997487290175633,10,12365,10,10
20,20,0.174049700201838,0.173774462830021,0.296199010810195,0.0620337728309687,0.682228390538671,0.971270987033629,20,12366,10,10
20,30,0.0792913327466999,0.0789117945201431,0.134399746084529,0.0770824881419456,0.620705157897738,0.998235045364061,30,12367,10,10
20,40,0.0611556745975959,0.0610298784723012,0.0207667104304312,0.364507770561046,0.339541525445323,0.970103218774972,39,12368,10,10
20,50,0.0760820380644,0.075130939442174,0.0729830937686587,0.18580660734963,0.502668072017898,0.860958091691811,47,12369,10,10
20,60,0.0620156098376729,0.0607394370407,0.0628171422660627,0.0984043675047869,0.449472025026892,0.859728669510164,60,12370,10,10
20,70,0.0364289900968794,0.0364307076731832,0.0976705549618572,0.0596911588613933,0.366075296496012,0.950510262338309,69,12371,10,10
20,80,0.0317004002773698,0.0314829393446055,0.0337793894509797,0.0425458248836704,0.337187692380659,0.733802147752437,79,12372,10,10
20,90,0.0487298922550025,0.0500811585965637,0.168125001533678,0.0310200135734997,0.328071768812936,0.755300806471962,89,12373,10,10
20,100,0.044667782695719,0.0428072432290194,0.0858110205564667,0.0519389301751169,0.279556378103539,0.728589294873884,99,12374,10,10
20,110,0.0546448323136933,0.0531310312616355,0.0922772916143808,0.177862745985772,0.313349078101964,0.722326158685054,104,12375,10,10
20,120,0.0357169770909575,0.0345516342140592,0.0515529818317358,0.120325460711124,0.292741940758484,0.888150668286014,119,12376,10,10
20,130,0.021811554101186,0.0214141818352794,0.0485994176259501,0.078983666608336,0.282567713534329,0.662697719205372,130,12377,10,10
20,140,0.032809439549556,0.0312208765017413,0.0205266970758816,0.0677531104969312,0.210989580207919,0.683471199820412,139,12378,10,10
20,150,0.0373139825919799,0.0356978097615019,0.0570736488559972,0.0227693824214651,0.25650209605143,0.687275838199468,144,12379,10,10
20,160,0.025110093527982,0.0268729742782479,0.0518849742967821,0.0601878789656488,0.176671130943459,0.789767684924025,154,12380,10,10
20,170,0.022255959472721,0.0209637046523908,0.0168506500709002,0.159451334143657,0.194768316989857,0.757413104307442,164,12381,10,10
20,180,0.0374578344007001,0.0364786754184365,0.0391805919534365,0.193856649134767,0.218574536862526,0.743405901218582,173,12382,10,10
20,190,0.0279356661510017,0.027815312355477,0.03641930268977,0.119201489504461,0.221392680616786,0.742036273635072,181,12383,10,10
