klist,llist,seuratnotieari,seuratwithtieari,pcaldarimax,pcaldarimin,celdagari,celdacgari,filteredL,seed,beta,delta
20,10,0.341807677440394,0.340463317783799,0.167836330601516,0.508424770911426,0.992743005416579,0.998213168160262,10,12345,5,5
20,20,0.101901198048127,0.10229069482476,0.278633136906509,0.110590291444337,0.263212539785827,0.99997100239636,19,12346,5,5
20,30,0.0905318993581296,0.0902315891423601,0.147331600964631,0.223115043783559,0.340333808079409,0.999948409993968,28,12347,5,5
20,40,0.0967421992962486,0.0964912956344166,0.0506590334735929,0.174809463411105,0.490337776371577,0.998447813072057,37,12348,5,5
20,50,0.118279193996576,0.118270187110488,0.303025711395728,0.187914923058335,0.339660434888339,0.985713356298028,46,12349,5,5
20,60,0.0836050502219963,0.0819105057187274,0.0511960961959439,0.284040840942564,0.358531638386179,0.891886456881257,55,12350,5,5
20,70,0.0857725056469466,0.0853401251656296,0.117446937226889,0.171305248206326,0.458769765273906,0.944152774185698,66,12351,5,5
20,80,0.0874338760453071,0.0863277796455546,0.161452663375079,0.0692429932491413,0.462027187613684,0.939762626326639,79,12352,5,5
20,90,0.0903734893211382,0.089970071675352,0.0638249657859814,0.324803818932118,0.422076794639546,0.929528203653725,83,12353,5,5
20,100,0.0519964312513354,0.051727633961164,0.0934363246938595,0.0470018406089892,0.410020602895566,0.854329349930685,89,12354,5,5
20,110,0.0721052783995376,0.0711226067046245,0.150024678364808,0.119214741239238,0.439225178299995,0.802867858881677,101,12355,5,5
20,120,0.0586638555216725,0.0572351169940136,0.139291078554702,0.144786643101479,0.381914133496206,0.889542536716541,103,12356,5,5
20,130,0.0726395691437793,0.0689001148284645,0.115865234944071,0.174764487576517,0.397261675916028,0.762643651767045,119,12357,5,5
20,140,0.0629953625300432,0.0604760454169204,0.0815699154836414,0.0872419855296764,0.408313839345262,0.696922642687341,121,12358,5,5
20,150,0.0618395012713776,0.0603809936980815,0.14709628598165,0.0890395949363611,0.353061555461686,0.849810637132834,132,12359,5,5
20,160,0.0324603834975331,0.0333198725948234,0.0763904253613784,0.0548641833212315,0.442930731568296,0.884250480856099,140,12360,5,5
20,170,0.0778899201587438,0.0766308206466847,0.113574892489336,0.152544607605688,0.468457319344289,0.793870268685429,135,12361,5,5
20,180,0.0360034283516454,0.034241000907926,0.0672926067628676,0.0678010584488998,0.360974812664051,0.609109454661675,144,12362,5,5
20,190,0.0408292544942003,0.0391298728491903,0.0895382295350827,0.100375005074401,0.375432208356866,0.712939236571496,152,12363,5,5
20,200,0.03584465487629,0.0345688537147642,0.0802928245386825,0.0368093364049931,0.408973440929542,0.819974859073121,161,12364,5,5
20,10,0.337562336194713,0.336698963197964,0.12412823268237,0.462494394574493,0.918352966571579,0.989090735123082,10,12365,5,5
20,20,0.148840072487523,0.148830392441259,0.0967426713653901,0.398709078834175,0.470541701229234,0.998945986162211,20,12366,5,5
20,30,0.174205419994586,0.173216476719482,0.0529600025396483,0.477180426793033,0.46614490450208,0.998887284833587,29,12367,5,5
20,40,0.0539855113597708,0.0531926514885609,0.0457624306022344,0.07831732737396,0.303792531722791,0.996023471296632,36,12368,5,5
20,50,0.170841429943125,0.170114718493914,0.287840824915933,0.0901478935819576,0.58518436851821,0.982659036473812,49,12369,5,5
20,60,0.0916420206858855,0.0916340277889973,0.184957844146875,0.0409744190102244,0.319725934188837,0.898442158155197,53,12370,5,5
20,70,0.0644336984803304,0.0638292534980554,0.128261540245977,0.0627271532978081,0.440664484659586,0.936839397983344,66,12371,5,5
20,80,0.0609817494892946,0.0603721285163593,0.133438955793903,0.0505237700582111,0.41375009320233,0.934197022792487,70,12372,5,5
20,90,0.0934242488602816,0.092962549232451,0.18168173852306,0.0613000945743254,0.544062220644454,0.935970749283992,83,12373,5,5
20,100,0.0579922027187348,0.0579489407016121,0.106712385637063,0.0528428501391135,0.461596535948247,0.878603996123476,97,12374,5,5
20,110,0.0319361831586941,0.0319296257677354,0.0272850952626322,0.200836362662085,0.294926720475206,0.795506932534849,95,12375,5,5
20,120,0.0517134692276005,0.0507461405236827,0.135147999546769,0.0579024203623039,0.440630056178866,0.890775623274733,108,12376,5,5
