klist,llist,seuratnotieari,seuratwithtieari,pcaldarimax,pcaldarimin,celdagari,celdacgari,filteredL,seed,beta,delta
20,10,0.213440033077685,0.213208268348605,0.229377131508367,0.116888370351014,0.776636244271401,0.972815571642832,10,12345,20,20
20,20,0.145180771034912,0.145277434104543,0.0799637933454692,0.187940877989172,0.497030581853999,0.951150396149353,20,12346,20,20
20,30,0.0532162934910126,0.0532633739296648,0.0421778799508753,0.082755493835468,0.306668438200576,0.877105958877008,30,12347,20,20
20,40,0.0436219925957898,0.0437400576489032,0.0592523756277205,0.0213827661968593,0.134350959482961,0.791769705949094,40,12348,20,20
20,50,0.0640481577140291,0.0645836350571148,0.0517048592162187,0.0769446667643398,0.29674457579387,0.835006400842958,50,12349,20,20
20,60,0.0370245246257257,0.0374122619699636,0.0327687614106281,0.0355249052849166,0.116919419831385,0.799339904770894,60,12350,20,20
20,70,0.0291201066845338,0.0288827467400012,0.0236243229347416,0.0905387352422525,0.104324920522316,0.578555225415612,70,12351,20,20
20,80,0.0193304484493302,0.0189347326031735,0.0202508317933554,0.0435084518261525,0.0696581641490759,0.643454074529569,80,12352,20,20
20,90,0.0240612356912124,0.0239718994583046,0.0393333719097476,0.0154642976716706,0.0972030560351647,0.746165791400846,90,12353,20,20
20,100,0.0165372297394692,0.0163913412332725,0.0412277085459792,0.0273798715731225,0.0789140119529171,0.596018173986274,99,12354,20,20
20,110,0.0151557370951086,0.0153795218116339,0.017429749116815,0.0199583639900306,0.105027000156417,0.676790828407803,108,12355,20,20
20,120,0.0116946822637319,0.0132115140981424,0.0112777994670545,0.0170433779014844,0.0801807317341705,0.622320108505596,117,12356,20,20
20,130,0.0120565276930656,0.0116138759223917,0.00934427834025628,0.0327854545042359,0.0441437954421312,0.374123045526768,130,12357,20,20
20,140,0.0103786295023199,0.00987888691891684,0.0113444513111265,0.0408721595893437,0.0440846021597314,0.528948709850295,138,12358,20,20
20,150,0.0265410392882891,0.0263862488265059,0.0942701374416337,0.0376734070736404,0.0941493885810046,0.376130353754173,149,12359,20,20
20,160,0.0135190387083925,0.0124523053786068,0.138434045814266,0.0218352261948645,0.060601788569087,0.491883222546407,159,12360,20,20
20,170,0.0288319444802931,0.0282636787018382,0.0327638064482953,0.0437492760434145,0.0565431007415216,0.528652687253576,167,12361,20,20
20,180,0.00262331357278675,0.00273010484222419,0.00371518769780411,0.00319558460203101,0.023709776509186,0.251737534465891,179,12362,20,20
20,190,0.00973431347660705,0.0102566692416317,0.0155623746515668,0.0126885240346729,0.0252125977436246,0.360668742743141,186,12363,20,20
20,200,0.00681113010309972,0.00707396885644398,0.0136472645585384,0.0191691421880755,0.0193207468362263,0.562617680671668,198,12364,20,20
20,10,0.137520601618829,0.1374763760817,0.11949912094856,0.101479230270508,0.816071163127242,0.971533920725359,10,12365,20,20
20,20,0.0985004057453927,0.0979331528962522,0.0497440280885538,0.14713775491791,0.46822290993483,0.879484957824267,20,12366,20,20
20,30,0.0618467897650538,0.0614484206221623,0.0274643478037182,0.0923458564215928,0.313228469230597,0.895296515998484,30,12367,20,20
20,40,0.0282865123902413,0.0289411724748749,0.0248435816860385,0.0269915632461852,0.2469224674617,0.75195180030886,40,12368,20,20
20,50,0.0258848002767013,0.0256839909140157,0.040028985949107,0.0870388514249184,0.217865434961354,0.833713151125214,50,12369,20,20
20,60,0.0385901089124217,0.03857250674255,0.0349705523059493,0.0403446103411146,0.177044542156315,0.842680401861819,60,12370,20,20
20,70,0.025242403032075,0.0245377425683627,0.0268007711095349,0.0275129198113138,0.100517477511257,0.667763870378228,69,12371,20,20
20,80,0.0125958492624493,0.0125997070402433,0.0147749376290665,0.0216383623056177,0.083641659247889,0.672948667075625,79,12372,20,20
20,90,0.0180444078385045,0.0174143898043866,0.0288461343561384,0.00755095850396094,0.116462900680709,0.52006646885209,90,12373,20,20
20,100,0.0141473268895175,0.013354915431183,0.0137070345478176,0.0115908348711444,0.071947645517979,0.522196018716505,100,12374,20,20
20,110,0.0139796995553151,0.0140195963999024,0.0491895556771163,0.0280337344898401,0.104541160787583,0.590197521677204,109,12375,20,20
20,120,0.0170761934540769,0.0165052832445649,0.0332839501161474,0.0241791984257357,0.0760122345031723,0.50652770075714,119,12376,20,20
20,130,0.0160045573103524,0.0158624291269206,0.0440684452759117,0.0204459098360399,0.0515214749462224,0.430505191523736,130,12377,20,20
20,140,0.012324721953358,0.012517323786555,0.039131440394559,0.00143427788010893,0.0401456338110891,0.429479136363825,140,12378,20,20
20,150,0.00827228246759095,0.00836888884746008,0.0404379562904285,0.00854666484838931,0.0679506066025038,0.575562908287091,149,12379,20,20
20,160,0.00689536828943285,0.00655986796323783,0.0329914391482217,0.00295145913604597,0.0205021774766878,0.234948266536756,160,12380,20,20
20,170,0.00747245245773707,0.00745316064139292,0.0148533126921613,0.00545259392694628,0.00896589286491769,0.36016943480592,167,12381,20,20
20,180,0.00901241473964265,0.00866839803024917,0.0252683394639273,0.0128876028884967,0.0288738577795203,0.411384931205192,179,12382,20,20
20,190,0.0079781745749326,0.00779211288935619,0.0370222000172373,0.0137658413433511,0.0286676916279517,0.408645729826175,186,12383,20,20
20,200,0.00577556288681873,0.00635232858392987,0.0590539555256455,0.0059376828934341,0.0403704500565762,0.520684657085505,196,12384,20,20
20,10,0.220513762009226,0.220067628996952,0.226739396844155,0.102918652655263,0.85497008449117,0.989114044553442,10,12385,20,20
20,20,0.137327467664007,0.137307383959201,0.0808302747668475,0.187391412570023,0.612718261659576,0.961023272525392,20,12386,20,20
20,30,0.0701706480568233,0.0698763616740402,0.0564636579302376,0.108013217201195,0.334195556386493,0.914156500854779,30,12387,20,20
20,40,0.0442397759715724,0.0437666737248325,0.038056847367586,0.0746868207053724,0.22929261325852,0.833741968480639,40,12388,20,20
20,50,0.0260571739552856,0.0258017400538429,0.0424188120886974,0.0354486481341677,0.224996562995955,0.887545271019578,50,12389,20,20
20,60,0.0221513183293291,0.0231933550765489,0.0252582998352312,0.0231530827561472,0.10279171150631,0.62981568216983,60,12390,20,20
20,70,0.0303932817801498,0.0303410518112541,0.017180915053739,0.0312925032364206,0.125043437146583,0.605881828363036,70,12391,20,20
20,80,0.0506290287161319,0.0514971791167319,0.0902975050972665,0.0853648587000283,0.0995008404253814,0.546136760853183,80,12392,20,20
20,90,0.0255517459564387,0.0246063638379952,0.0993628812395226,0.063944353610923,0.0762182067423699,0.649242547323157,90,12393,20,20
20,100,0.0218946014328108,0.0211889951937134,0.0381607797838806,0.0342055072227578,0.0716661147544814,0.516440894578931,100,12394,20,20
20,110,0.0141700102772455,0.0144849721952792,0.0160409752225656,0.0192938028711013,0.0382965214160352,0.68879806602834,109,12395,20,20
20,120,0.0183506254161149,0.0192397765365413,0.0522061709389469,0.0185124228290587,0.116517737339864,0.496333319078427,119,12396,20,20
20,130,0.0294785395619291,0.0291022924389398,0.0335781342132613,0.133481534806436,0.107720727438052,0.427870725151583,129,12397,20,20
20,140,0.0150976372292053,0.0147927822839735,0.015939621218902,0.0227792053124396,0.0291990360114287,0.588504113128322,140,12398,20,20
20,150,0.0170225557052905,0.0160678649023537,0.0115117295425842,0.0403737063955099,0.0492529598559372,0.600623963296274,147,12399,20,20
20,160,0.0169292540642369,0.0171497787038632,0.015898975682903,0.0520114557564359,0.0729007115869969,0.333796413281466,156,12400,20,20
20,170,0.0149929679398657,0.0143596298308965,0.0165083525730334,0.0321966444889089,0.024934828172735,0.401214060655383,168,12401,20,20
20,180,0.0182719196436285,0.0173650949590774,0.0250844375330566,0.0461550680507897,0.0562151953221821,0.27799470161027,175,12402,20,20
20,190,0.00643532075786127,0.00659447631493985,0.00599273076208965,0.0085519756957307,0.0267669059569927,0.206011049042102,187,12403,20,20
20,200,0.00589854532323914,0.00642617955366267,0.0103806913038344,0.0102423493018626,0.0352526414847595,0.335204977013933,196,12404,20,20
20,10,0.219235965549631,0.218067197605812,0.244948431163031,0.193480981804572,0.778244598394872,0.980196478469809,10,12405,20,20
20,20,0.0948077422251672,0.0953696913292316,0.0657939620504514,0.0688804249715443,0.486697245549283,0.916587847260123,20,12406,20,20
20,30,0.0553823585666956,0.0553543695219552,0.0707471507140733,0.0506827437951314,0.223072525928185,0.771021925366028,30,12407,20,20
20,40,0.0411865613016905,0.0410774530266821,0.071378960898168,0.0337458585108728,0.245519292413916,0.830917198336075,40,12408,20,20
20,50,0.0482835392865327,0.0503128683365192,0.0191185071815329,0.0703018754401225,0.227897480050561,0.656032932415782,50,12409,20,20
20,60,0.0308438051714222,0.0312463811490583,0.151349092088509,0.0114085783463272,0.198092117058017,0.882352832495304,60,12410,20,20
20,70,0.0168148636830846,0.0163420351360361,0.0285480617129151,0.0143134407264841,0.134840596960716,0.65208548885268,70,12411,20,20
20,80,0.0216286852793388,0.021105344638411,0.0158228245779113,0.0410711953310803,0.0525789853099272,0.690921346288307,80,12412,20,20
20,90,0.023167539302509,0.0224479788548918,0.0203279929032944,0.0392656702643179,0.124825068825612,0.606558566758856,90,12413,20,20
20,100,0.0145682795774696,0.0143452626755593,0.012585409757855,0.040458088986024,0.0496311259503002,0.312786423430343,100,12414,20,20
20,110,0.0226611013889977,0.02302119967859,0.0847515541265559,0.0137950825691069,0.103573077898125,0.650164035904223,110,12415,20,20
